titulo,precio_texto,precio_num,direccion,dormitorios,banos,estacionamientos,descripcion,enlace,fecha_captura,fuente,ciudad_objetivo,tipo_operacion,tipo_propiedad
ENTORNO INMOBILIARIO,$0CLP,0,Region De Coquimbo,3,1,0,"Se arrienda  acogedor Departamento 57 MT2, en cuarto piso, calle Federico Arcos, en condominio con acceso controlado, estacionamiento, dentro de los espacios comunes incluye: áreas verdes, piscinas, sector de quinchos y plaza interior, con juegos para niños. Departamento completamente amoblado...",https://www.goplaceit.com/cl/propiedad/arriendo/departamento/la-serena/11721817-se-arrienda-lindo-departamento-amoblado-3d1b?source=perfil-region,2026-04-21 15:08:53,GoPlaceIt,La Serena,Arriendo,Departamento
ENTORNO INMOBILIARIO,$0CLP,0,Region De Coquimbo,3,1,1,"ARRIENDO POR NOCHES - LA SERENA.                                                                                                                        Departamento en sector Puertas del Mar. Cuenta con 3 dormitorios, 1 baño y estacionamiento para 1 vehículo. Incluye wifi, Tv cable y lavadora....",https://www.goplaceit.com/cl/propiedad/arriendo/departamento/la-serena/11733289-departamento-en-arriendo-en-la-serena?source=perfil-region,2026-04-21 15:08:58,GoPlaceIt,La Serena,Arriendo,Departamento
ENTORNO INMOBILIARIO,$0CLP,0,Region De Coquimbo,3,2,1,"Departamento en Condominio Las Terrazas de San Joaquin, en excelente sector y ubicacion con gran conectividad al centro de la ciudad, supermercados, colegios, centros deportivos, con vista hacia el norponiente desde la terraza.
Distribucion : Living con salida hacia la terraza, amplio comedor,...",https://www.goplaceit.com/cl/propiedad/arriendo/departamento/la-serena/11870212-departamento-en-arriendo-ano-corrido?source=perfil-region,2026-04-21 15:09:03,GoPlaceIt,La Serena,Arriendo,Departamento
ENTORNO INMOBILIARIO,$0CLP,0,Region De Coquimbo,2,1,1,"Acogedor y luminoso departamento full equipado, cocina amoblada y ropa de cama incluida. Cuenta con Tv cable (smart tv) e internet para hacer una estancia cómoda. Tiene dos dormitorios y un baño. 
Está habilitado para 5 personas....",https://www.goplaceit.com/cl/propiedad/arriendo/departamento/la-serena/12026621-acogedor-departamento-en-arriendo-en-la-serena?source=perfil-region,2026-04-21 15:09:12,GoPlaceIt,La Serena,Arriendo,Departamento
ENTORNO INMOBILIARIO,$0CLP,0,Region De Coquimbo,2,2,1,"Arriendo 2 hermosos departamentos amoblados con 2 dormitorio y 2 baños en complejo Aqua La Serena. Esto es en plena Av. Del Mar altura de Mía Pizza.
Edificio muy tranquilo y full equipado con +5 piscinas (incluyendo con olas y temperada), gimnasio, jacuzzi, quincho, lavandería, entre otros. Inc...",https://www.goplaceit.com/cl/propiedad/arriendo/departamento/la-serena/12166399-departamento-amoblado-marzo-a-dic-en-condominio-aqua-la-serena-incluye-gastos-comunes?source=perfil-region,2026-04-21 15:09:17,GoPlaceIt,La Serena,Arriendo,Departamento
